,Brand,CPU,Graphics,RAM,Display,Storage,Battery,Camera,Weight,Price,Type
0,Dell,"11th Generation Intel® Core™ i3-1115G4 Processor (6MB Cache, up to 4.1 GHz)",Intel UHD Graphics,"
4GB DDR4, 2666MHzExpandable up to 16GB
",15.6-inch IPS display; Full-HD (1920 x 1080 pixels) resolution; Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,128GB SSD + 1tb hdd,3-Cell 42 Watt-Hours Integrated,720p,1.85kg,55000,Normal
1,Dell,"11th Generation Intel® Core™ i5-1135G7 Processor (8MB Cache, up to 4.2 GHz)",Intel® Iris® Xe Graphics with shared graphics memory,"
8GB DDR4, 2666MHzExpandable up to 16GB
",15.6-inch Full-HD (1920 x 1080 pixels) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,512GB SSD,3-Cell 42 Watt-Hours Integrated,720p,1.85kg,78000,Normal
2,Dell,AMD Ryzen™ 5 5625U 6-core/12-thread Processor ,Radeon™ Graphics,"8 GB, 1 x 8 GB, DDR4, 3200 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,"3 Cell, 41 Wh, integrated",720p at 30 fps HD camera,1.68 kg,84300,Normal
3,Dell,"11th Generation Intel Core i5-1135G7 Processor (8MB Cache, up to 4.2 GHz)",NVIDIA GeForce MX350 with 2GB GDDR5 graphics memory,"
8GB DDR4, 2666MHzExpandable up to 16GB
",15.6-inch Full-HD (1920 x 1080 pixels) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,512GB SSD,3-Cell 42 Watt-Hours Integrated,720p,1.85kg,85000,Normal
4,Dell,"

AMD Ryzen 5 5500U 6-core/12-thread Mobile Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB, DDR4, 2666MHzExpandable up to 16GB",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,256 SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,720p,1.6g,85000,Normal
5,Dell,"

AMD Ryzen 5 5500U 8-core/16-thread Mobile Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB, DDR4, 2666MHzExpandable up to 16GB",14-inch IPS display; Full-HD (1920 x 1080 pixels) resolution; Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,256 SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,720p,1.4g,85000,Normal
6,Dell,"Intel Core i5-1235U Processor 1.3 GHz (10M Cache, up to 4.4 GHz, 10 cores)","
Nvidia MX550 2GB DDr5 Graphic 
","8GB, onboard, LPDDR4, 3200 MHz","
15.6"", FHD 1920 x 1080, 60Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),86000,Normal
7,Dell,"

AMD Ryzen 5 5625U 6-core/12-thread Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB DDR4 RAM, 3200MHzExpandable up to 16GB","16.1-inch IPS display; Full-HD+ (1920 x 1200 pixels) resolution; 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView",512GB SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.87Kg,94000,Normal
8,Dell,12th Generation Intel® Core™ i5-1235U  Processor ,Intel,"8GB, onboard, LPDDR4, 2666 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",256GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),98400,Normal
9,Dell,AMD Ryzen 7 5825U 8-core/16-thread Processor ,Radeon™ Graphics,"8 GB, 1 x 8 GB, DDR4, 3200 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,"3 Cell, 41 Wh, integrated",720p at 30 fps HD camera,1.68 kg,101400,Normal
